Type,Year,lac,Country
Wine,1970,0.59,USA
Wine,1971,0.67,USA
Wine,1972,0.73,USA
Wine,1973,0.74,USA
Wine,1974,0.74,USA
Wine,1975,0.77,USA
Wine,1976,0.78,USA
Wine,1977,0.83,USA
Wine,1978,0.89,USA
Wine,1979,0.9,USA
Wine,1980,0.96,USA
Wine,1981,1,USA
Wine,1982,1.01,USA
Wine,1983,1.02,USA
Wine,1984,1.07,USA
Wine,1985,1.1,USA
Wine,1986,1.11,USA
Wine,1987,1.09,USA
Wine,1988,1.02,USA
Wine,1989,0.96,USA
Wine,1990,0.92,USA
Wine,1991,0.84,USA
Wine,1992,0.84,USA
Wine,1993,0.78,USA
Wine,1994,0.79,USA
Wine,1995,0.79,USA
Wine,1996,0.84,USA
Wine,1997,0.86,USA
Wine,1998,0.87,USA
Wine,1999,0.88,USA
Wine,2000,0.91,USA
Wine,2001,0.92,USA
Wine,2002,0.97,USA
Wine,2003,1,USA
Wine,2004,1.03,USA
Wine,2005,1.06,USA
Wine,2006,1.09,USA
Wine,2007,1.12,USA
Wine,2008,1.11,USA
Wine,2009,1.13,USA
Wine,2010,1.15,USA
Wine,2011,1.22,USA
Wine,2012,1.24,USA
Wine,2013,1.27,USA
Wine,2014,1.27,USA
Spirits,1961,2.25,USA
Spirits,1962,2.36,USA
Spirits,1963,2.38,USA
Spirits,1964,2.5,USA
Spirits,1965,2.62,USA
Spirits,1966,2.71,USA
Spirits,1967,2.8,USA
Spirits,1968,2.95,USA
Spirits,1969,3.05,USA
Spirits,1970,3.02,USA
Spirits,1971,3.07,USA
Spirits,1972,3.02,USA
Spirits,1973,3.06,USA
Spirits,1974,3.12,USA
Spirits,1975,3.15,USA
Spirits,1976,3.14,USA
Spirits,1977,3.04,USA
Spirits,1978,3.09,USA
Spirits,1979,3.08,USA
Spirits,1980,3.05,USA
Spirits,1981,3,USA
Spirits,1982,2.89,USA
Spirits,1983,2.83,USA
Spirits,1984,2.79,USA
Spirits,1985,2.67,USA
Spirits,1986,2.49,USA
Spirits,1987,2.43,USA
Spirits,1988,2.34,USA
Spirits,1989,2.28,USA
Spirits,1990,2.28,USA
Spirits,1991,2.11,USA
Spirits,1992,2.1,USA
Spirits,1993,2.01,USA
Spirits,1994,1.92,USA
Spirits,1995,1.86,USA
Spirits,1996,1.86,USA
Spirits,1997,1.84,USA
Spirits,1998,1.84,USA
Spirits,1999,1.87,USA
Spirits,2000,1.91,USA
Spirits,2001,1.91,USA
Spirits,2002,1.91,USA
Spirits,2003,2.01,USA
Spirits,2004,2.04,USA
Spirits,2005,2.11,USA
Spirits,2006,2.14,USA
Spirits,2007,2.2,USA
Spirits,2008,2.21,USA
Spirits,2009,2.24,USA
Spirits,2010,2.25,USA
Spirits,2011,2.32,USA
Spirits,2012,2.38,USA
Spirits,2013,2.42,USA
Spirits,2014,2.45,USA
Alcohol,1961,5.21,USA
Alcohol,1962,5.36,USA
Alcohol,1963,5.46,USA
Alcohol,1964,5.69,USA
Alcohol,1965,5.82,USA
Alcohol,1966,5.96,USA
Alcohol,1967,6.12,USA
Alcohol,1968,6.36,USA
Alcohol,1969,6.61,USA
Alcohol,1970,6.7,USA
Alcohol,1971,6.89,USA
Alcohol,1972,6.98,USA
Alcohol,1973,7.15,USA
Alcohol,1974,7.38,USA
Alcohol,1975,7.5,USA
Alcohol,1976,7.55,USA
Alcohol,1977,7.58,USA
Alcohol,1978,7.83,USA
Alcohol,1979,7.97,USA
Alcohol,1980,8.04,USA
Alcohol,1981,8.08,USA
Alcohol,1982,7.96,USA
Alcohol,1983,7.91,USA
Alcohol,1984,7.94,USA
Alcohol,1985,7.72,USA
Alcohol,1986,7.57,USA
Alcohol,1987,7.49,USA
Alcohol,1988,7.31,USA
Alcohol,1989,7.13,USA
Alcohol,1990,7.18,USA
Alcohol,1991,6.76,USA
Alcohol,1992,6.76,USA
Alcohol,1993,6.52,USA
Alcohol,1994,6.41,USA
Alcohol,1995,6.3,USA
Alcohol,1996,6.35,USA
Alcohol,1997,6.32,USA
Alcohol,1998,6.33,USA
Alcohol,1999,6.42,USA
Alcohol,2000,6.46,USA
Alcohol,2001,6.5,USA
Alcohol,2002,6.57,USA
Alcohol,2003,6.64,USA
Alcohol,2004,6.71,USA
Alcohol,2005,6.75,USA
Alcohol,2006,6.85,USA
Alcohol,2007,6.94,USA
Alcohol,2008,6.95,USA
Alcohol,2009,6.92,USA
Alcohol,2010,6.86,USA
Alcohol,2011,6.95,USA
Alcohol,2012,7.07,USA
Alcohol,2013,7.12,USA
Alcohol,2014,7.09,USA
